Case Number,Species,Type of Injury,Fatal:Yes or No,Unprovoked attack,Sex,Age,Activity,Country,Area,Year,Date,Time,Type,Investigation
2015.04.24.c,White Shark,"no injury, knocked off ski",N,Y,Male,71,Surf Skiing ,Australia,New South Wales,2015,24-Jun-15,11h00,Unprovoked,"Echo Daily, 6/25/2015"
2015.04.25,White Shark,leg severed at mid-thigh,N,Y,Male,26,Surfing,Australia,South Australia,2015,25-Apr-15,09h45,Unprovoked,"The Advertiser, 4/25/2015"
2015.05.02,White Shark,"injuries to leg, left arm and both hands",N,Y,Male,29,Diving,South Africa,Eastern Cape Province,2015,02-May-15,13h00,Unprovoked,"DispatchLive, 5/4/2015"
2015.05.03,White Shark,injuries to left arm and right hand,N,Y,Male,NA,Surfing,Australia,New South Wales,2015,03-May-15,15h00,Unprovoked,"ABC, 5/3/2015"
2015.05.09,Bull Shark,fatal,Y,Y,Male,50,Snorkeling,New Caledonia,Na,2015,09-May-15,NA,Unprovoked,Les Nouvelles Caledonnie
2015.06.01,Bull Shark,left forearm bitten,N,Y,Male,47,Surfing,Reunion,Le Port,2015,01-Jun-15,15h00,Unprovoked,"Clincanoo, 6/1/2015"
2015.06.05,Nurse Shark,puncture wound to finger,N,Y,Female,17,Attempting To Rescue A Shark,USA,Florida,2015,05-Jun-15,NA,Unprovoked,"7 News, 6/5/2015"
2015.06.07,Bull Shark,lacerations to right calf,N,Y,Male,11,Playing,USA,Florida,2015,07-Jun-15,10h50,Unprovoked,"Florida Today, 6/7/2015"
2015.06.14.a,Bull Shark,left arm amputated at elbow and severe injury to leg,N,Y,Female,12,Wading,USA,North Carolina,2015,14-Jun-15,16h12,Unprovoked,"C. Creswell, GSAF"
2015.06.14.b,Bull Shark,arm amputated below shoulder,N,Y,Male,16,Wading,USA,North Carolina,2015,14-Jun-15,17h51,Unprovoked,"C. Creswell, GSAF"
2015.06.24.b,Tiger Shark,minor injury to foot,N,Y,Male,6,Swimming,USA,North Carolina,2015,24-Jun-15,12h25,Unprovoked,"C. Creswell, GSAF"
2015.06.26.b,White Shark,multiple lacerations to torso and leg,N,Y,Male,23,Surfing,South Africa,Western Cape Province,2015,26-Jun-15,16h00,Unprovoked,Zig Zag Surfing Magazine
2015.06.27.a,White Shark,"right leg severed, multiple lacerations to left leg",N,Y,Male,19,Body Boarding,South Africa,Western Cape Province,2015,27-Jun-15,14h40,Unprovoked,"NSRI, 6/27/205"
2015.06.27.b,Bull Shark,"injuries to right calf, buttock and both hands",N,Y,Male,18,Swimming,USA,North Carolina,2015,27-Jun-15,16h00,Unprovoked,"C. Creswell, WRAL, 6/27/2015"
2015.07.02,White Shark,significant injuries to lower legs,N,Y,Male,32,Body Boarding ,Australia,New South Wales,2015,02-Jul-15,09h00,Unprovoked,"Northern Star, 7/2/2015"
2015.07.03,White Shark,"no injury, shark bit surfboard",N,Y,Male,52,Surfing,Australia,New South Wales,2015,03-Jul-15,09h00,Unprovoked,"Northern Star, 7/3/2015"
2015.07-10,White Shark,"no injury, shark bumped and damaged board",N,Y,Male,38,Surfing,USA,California,2015,10-Jul-15,08h45,Unprovoked,"KTLA, 7/10/2015"
2015.07.19,White Shark,no injury,N,Y,Male,34,Surfing,South Africa,Eastern Cape Province,2015,19-Jul-15,NA,Unprovoked,"BBC, 7/20/2015"
2015.07.22,Bull Shark,arm bitten,N,Y,Male,45,Surfing,Reunion,Na,2015,22-Jul-15,NA,Unprovoked,Zig Zag Surfing Magazine
2015.07.23.a,Bronze Whaler Shark,left hand bitten,N,Y,Male,NA,Surfing,Australia,Victoria,2015,23-Jul-15,NA,Unprovoked,"ABC News, 7/27/2015"
2015.07.25,White Shark,fatal,Y,Y,Male,46,Scallop Diving On Hookah,Australia,Tasmania,2015,25-Jul-15,10h00,Unprovoked,"C. Black, GSAF"
2015.07.26.b,Blacktip Shark,minor injury to sole of foot,N,Y,Male,25,Surfing,USA,Florida,2015,26-Jul-15,19h00,Unprovoked,CBS 7/27/2015
2015.07.31,White Shark,"lacerations and puncture wounds to hip, thigh, arm and hand",N,Y,Male,52,Surfing,Australia,New South Wales,2015,31-Jul-15,06h00,Unprovoked,"Daily Telegraph, 7/31/2015"
2015.08.10,Hammerhead Shark,right hand bitten  provoked incident,N,N,Male,57,Spearfishing,USA,California,2015,10-Aug-15,08h00,Provoked,"NBC San Diego, 8/13/2015"
2015.08.18.b,White Shark,"no injury, kayak bitten",N,Y,Male,22,Kayak Fishing,USA,California,2015,18-Aug-15,07h30,Unprovoked,"R. Collier, GSAF"
2015.08.29.a,White Shark,"no injury, shark struk sufer's leg and his board",N,Y,Male,21,Surfing,USA,California,2015,29-Aug-15,10h00,Unprovoked,"R. Collier, GSAF"
2015.08.29.b,White Shark,"no injury, surfboard bitten",N,Y,Female,54,Surfing,USA,California,2015,29-Aug-15,10h25,Unprovoked,"R. Collier, GSAF"
2015.09.00,Tiger Shark,leg bitten,N,Y,Male,NA,Spearfishing,Fiji,Na,2015,Sep-15,NA,Unprovoked,"Fiji Times, 2/8/2016"
2015.09.04,White Shark,inuries to lower left leg and ankle,N,Y,Male,62,Surf-Skiing,Australia,New South Wales,2015,04-Sep-15,11h30,Unprovoked,"The Sydney Morning Herald, 9/4/2015"
2015.09.05,Hammerhead Shark,laceration to dorsum of foot by hooked shark  provoked incident,N,N,Male,29,Kayak Fishing,USA,California,2015,05-Sep-15,14h40,Provoked,"R. Collier, GSAF"
2015.09.06,White Shark,"no injury, shark struck board, tossing her into the sea",N,Y,Female,50,Stand-Up Paddleboarding,USA,California,2015,06-Sep-15,17h30,Unprovoked,"R. Collier, GSAF"
