,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
13151,,,UNKNOWN,,,,,U,,
13152,,,UNKNOWN,,,,,U,,
13153,,,UNKNOWN,,,,,U,,
13154,,,UNKNOWN,,,,,U,,
13155,,,UNKNOWN,,,,,U,,
13156,,,UNKNOWN,,,,,U,,
13157,,,UNKNOWN,,,,,U,,
13158,,,UNKNOWN,,,,,U,,
13159,,,UNKNOWN,,,,,U,,
13160,,,UNKNOWN,,,,,U,,
13161,,,UNKNOWN,,,,,U,,
13162,,,UNKNOWN,,,,,U,,
13163,,,UNKNOWN,,,,,U,,
13164,,,UNKNOWN,,,,,U,,
13165,,,UNKNOWN,,,,,U,,
13166,,,UNKNOWN,,,,,U,,
13167,,,UNKNOWN,,,,,U,,
13168,,,UNKNOWN,,,,,U,,
13169,,,UNKNOWN,,,,,U,,
13170,,,UNKNOWN,,,,,U,,
13171,,,UNKNOWN,,,,,U,,
13172,,,UNKNOWN,,,,,U,,
13173,,,UNKNOWN,,,,,U,,
13174,,,UNKNOWN,,,,,U,,
13175,,,UNKNOWN,,,,,U,,
13176,,,UNKNOWN,,,,,U,,
13177,,,UNKNOWN,,,,,U,,
13178,,,UNKNOWN,,,,,U,,
13179,,,UNKNOWN,,,,,U,,
13180,,,UNKNOWN,,,,,U,,
13181,,,UNKNOWN,,,,,U,,
13182,,,UNKNOWN,,,,,U,,
13183,,,UNKNOWN,,,,,U,,
13184,,,UNKNOWN,,,,,U,,
13185,,,UNKNOWN,,,,,U,,
13186,,,UNKNOWN,,,,,U,,
13187,,,UNKNOWN,,,,,U,,
13188,,,UNKNOWN,,,,,U,,
13189,,,UNKNOWN,,,,,U,,
13190,,,UNKNOWN,,,,,U,,
13191,,,UNKNOWN,,,,,U,,
13192,,,UNKNOWN,,,,,U,,
13193,,,UNKNOWN,,,,,U,,
13194,,,UNKNOWN,,,,,U,,
13195,,,UNKNOWN,,,,,U,,
13196,,,UNKNOWN,,,,,U,,
13197,,,UNKNOWN,,,,,U,,
13198,,,UNKNOWN,,,,,U,,
13199,,,UNKNOWN,,,,,U,,
13200,,,UNKNOWN,,,,,U,,
13201,,,UNKNOWN,,,,,U,,
13202,,,UNKNOWN,,,,,U,,
13203,,,UNKNOWN,,,,,U,,
13204,,,UNKNOWN,,,,,U,,
13205,,,UNKNOWN,,,,,U,,
13206,,,UNKNOWN,,,,,U,,
13207,,,UNKNOWN,,,,,U,,
13208,,,UNKNOWN,,,,,U,,
13209,,,UNKNOWN,,,,,U,,
13210,,,UNKNOWN,,,,,U,,
13211,,,UNKNOWN,,,,,U,,
13212,,,UNKNOWN,,,,,U,,
13213,,,UNKNOWN,,,,,U,,
13214,,,UNKNOWN,,,,,U,,
13215,,,UNKNOWN,,,,,U,,
13216,,,UNKNOWN,,,,,U,,
13217,,,UNKNOWN,,,,,U,,
13218,,,UNKNOWN,,,,,U,,
13219,,,UNKNOWN,,,,,U,,
13220,,,UNKNOWN,,,,,U,,
13221,,,UNKNOWN,,,,,U,,
13222,,,UNKNOWN,,,,,U,,
13223,,,UNKNOWN,,,,,U,,
13224,,,UNKNOWN,,,,,U,,
13225,,,UNKNOWN,,,,,U,,
13226,,,UNKNOWN,,,,,U,,
13227,,,UNKNOWN,,,,,U,,
13228,,,UNKNOWN,,,,,U,,
13229,,,UNKNOWN,,,,,U,,
13230,,,UNKNOWN,,,,,U,,
13231,,,UNKNOWN,,,,,U,,
13232,,,UNKNOWN,,,,,U,,
13233,,,UNKNOWN,,,,,U,,
13234,,,UNKNOWN,,,,,U,,
13235,,,UNKNOWN,,,,,U,,
13236,,,UNKNOWN,,,,,U,,
13237,,,UNKNOWN,,,,,U,,
13238,,,UNKNOWN,,,,,U,,
13239,,,UNKNOWN,,,,,U,,
13240,,,UNKNOWN,,,,,U,,
13241,,,UNKNOWN,,,,,U,,
13242,,,UNKNOWN,,,,,U,,
13243,,,UNKNOWN,,,,,U,,
13244,,,UNKNOWN,,,,,U,,
13245,,,UNKNOWN,,,,,U,,
13246,,,UNKNOWN,,,,,U,,
13247,,,UNKNOWN,,,,,U,,
13248,,,UNKNOWN,,,,,U,,
13249,,,UNKNOWN,,,,,U,,
13250,,,UNKNOWN,,,,,U,,
13251,,,UNKNOWN,,,,,U,,
13252,,,UNKNOWN,,,,,U,,
13253,,,UNKNOWN,,,,,U,,
13254,,,UNKNOWN,,,,,U,,
13255,,,UNKNOWN,,,,,U,,
13256,,,UNKNOWN,,,,,U,,
13257,,,UNKNOWN,,,,,U,,
13258,,,UNKNOWN,,,,,U,,
13259,,,UNKNOWN,,,,,U,,
13260,,,UNKNOWN,,,,,U,,
13261,,,UNKNOWN,,,,,U,,
13262,,,UNKNOWN,,,,,U,,
13263,,,UNKNOWN,,,,,U,,
13264,,,UNKNOWN,,,,,U,,
13265,,,UNKNOWN,,,,,U,,
13266,,,UNKNOWN,,,,,U,,
13267,,,UNKNOWN,,,,,U,,
13268,,,UNKNOWN,,,,,U,,
13269,,,UNKNOWN,,,,,U,,
13270,,,UNKNOWN,,,,,U,,
13271,,,UNKNOWN,,,,,U,,
13272,,,UNKNOWN,,,,,U,,
13273,,,UNKNOWN,,,,,U,,
13274,,,UNKNOWN,,,,,U,,
13275,,,UNKNOWN,,,,,U,,
13276,,,UNKNOWN,,,,,U,,
13277,,,UNKNOWN,,,,,U,,
13278,,,UNKNOWN,,,,,U,,
13279,,,UNKNOWN,,,,,U,,
13280,,,UNKNOWN,,,,,U,,
13281,,,UNKNOWN,,,,,U,,
13282,,,UNKNOWN,,,,,U,,
13283,,,UNKNOWN,,,,,U,,
13284,,,UNKNOWN,,,,,U,,
13285,,,UNKNOWN,,,,,U,,
13286,,,UNKNOWN,,,,,U,,
13287,,,UNKNOWN,,,,,U,,
13288,,,UNKNOWN,,,,,U,,
13289,,,UNKNOWN,,,,,U,,
13290,,,UNKNOWN,,,,,U,,
13291,,,UNKNOWN,,,,,U,,
13292,,,UNKNOWN,,,,,U,,
13293,,,UNKNOWN,,,,,U,,
13294,,,UNKNOWN,,,,,U,,
13295,,,UNKNOWN,,,,,U,,
13296,,,UNKNOWN,,,,,U,,
13297,,,UNKNOWN,,,,,U,,
13298,,,UNKNOWN,,,,,U,,
13299,,,UNKNOWN,,,,,U,,
13300,,,UNKNOWN,,,,,U,,
13301,,,UNKNOWN,,,,,U,,
13302,,,UNKNOWN,,,,,U,,
13303,,,UNKNOWN,,,,,U,,
13304,,,UNKNOWN,,,,,U,,
13305,,,UNKNOWN,,,,,U,,
13306,,,UNKNOWN,,,,,U,,
13307,,,UNKNOWN,,,,,U,,
13308,,,UNKNOWN,,,,,U,,
13309,,,UNKNOWN,,,,,U,,
13310,,,UNKNOWN,,,,,U,,
13311,,,UNKNOWN,,,,,U,,
13312,,,UNKNOWN,,,,,U,,
13313,,,UNKNOWN,,,,,U,,
13314,,,UNKNOWN,,,,,U,,
13315,,,UNKNOWN,,,,,U,,
13316,,,UNKNOWN,,,,,U,,
13317,,,UNKNOWN,,,,,U,,
13318,,,UNKNOWN,,,,,U,,
13319,,,UNKNOWN,,,,,U,,
13320,,,UNKNOWN,,,,,U,,
13321,,,UNKNOWN,,,,,U,,
13322,,,UNKNOWN,,,,,U,,
13323,,,UNKNOWN,,,,,U,,
13324,,,UNKNOWN,,,,,U,,
13325,,,UNKNOWN,,,,,U,,
13326,,,UNKNOWN,,,,,U,,
13327,,,UNKNOWN,,,,,U,,
13328,,,UNKNOWN,,,,,U,,
13329,,,UNKNOWN,,,,,U,,
13330,,,UNKNOWN,,,,,U,,
13331,,,UNKNOWN,,,,,U,,
13332,,,UNKNOWN,,,,,U,,
13333,,,UNKNOWN,,,,,U,,
13334,,,UNKNOWN,,,,,U,,
13335,,,UNKNOWN,,,,,U,,
13336,,,UNKNOWN,,,,,U,,
13337,,,UNKNOWN,,,,,U,,
13338,,,UNKNOWN,,,,,U,,
13339,,,UNKNOWN,,,,,U,,
13340,,,UNKNOWN,,,,,U,,
13341,,,UNKNOWN,,,,,U,,
13342,,,UNKNOWN,,,,,U,,
13343,,,UNKNOWN,,,,,U,,
13344,,,UNKNOWN,,,,,U,,
13345,,,UNKNOWN,,,,,U,,
13346,,,UNKNOWN,,,,,U,,
13347,,,UNKNOWN,,,,,U,,
13348,,,UNKNOWN,,,,,U,,
13349,,,UNKNOWN,,,,,U,,
13350,,,UNKNOWN,,,,,U,,
13351,,,UNKNOWN,,,,,U,,
13352,,,UNKNOWN,,,,,U,,
13353,,,UNKNOWN,,,,,U,,
13354,,,UNKNOWN,,,,,U,,
13355,,,UNKNOWN,,,,,U,,
13356,,,UNKNOWN,,,,,U,,
13357,,,UNKNOWN,,,,,U,,
13358,,,UNKNOWN,,,,,U,,
13359,,,UNKNOWN,,,,,U,,
13360,,,UNKNOWN,,,,,U,,
13361,,,UNKNOWN,,,,,U,,
13362,,,UNKNOWN,,,,,U,,
13363,,,UNKNOWN,,,,,U,,
13364,,,UNKNOWN,,,,,U,,
13365,,,UNKNOWN,,,,,U,,
13366,,,UNKNOWN,,,,,U,,
13367,,,UNKNOWN,,,,,U,,
13368,,,UNKNOWN,,,,,U,,
13369,,,UNKNOWN,,,,,U,,
13370,,,UNKNOWN,,,,,U,,
13371,,,UNKNOWN,,,,,U,,
13372,,,UNKNOWN,,,,,U,,
13373,,,UNKNOWN,,,,,U,,
13374,,,UNKNOWN,,,,,U,,
13375,,,UNKNOWN,,,,,U,,
13376,,,UNKNOWN,,,,,U,,
13377,,,UNKNOWN,,,,,U,,
13378,,,UNKNOWN,,,,,U,,
13379,,,UNKNOWN,,,,,U,,
13380,,,UNKNOWN,,,,,U,,
13381,,,UNKNOWN,,,,,U,,
13382,,,UNKNOWN,,,,,U,,
13383,,,UNKNOWN,,,,,U,,
13384,,,UNKNOWN,,,,,U,,
13385,,,UNKNOWN,,,,,U,,
13386,,,UNKNOWN,,,,,U,,
13387,,,UNKNOWN,,,,,U,,
13388,,,UNKNOWN,,,,,U,,
13389,,,UNKNOWN,,,,,U,,
13390,,,UNKNOWN,,,,,U,,
13391,,,UNKNOWN,,,,,U,,
13392,,,UNKNOWN,,,,,U,,
13393,,,UNKNOWN,,,,,U,,
13394,,,UNKNOWN,,,,,U,,
13395,,,UNKNOWN,,,,,U,,
13396,,,UNKNOWN,,,,,U,,
13397,,,UNKNOWN,,,,,U,,
13398,,,UNKNOWN,,,,,U,,
13399,,,UNKNOWN,,,,,U,,
13400,,,UNKNOWN,,,,,U,,
13401,,,UNKNOWN,,,,,U,,
13402,,,UNKNOWN,,,,,U,,
13403,,,UNKNOWN,,,,,U,,
13404,,,UNKNOWN,,,,,U,,
13405,,,UNKNOWN,,,,,U,,
13406,,,UNKNOWN,,,,,U,,
13407,,,UNKNOWN,,,,,U,,
13408,,,UNKNOWN,,,,,U,,
13409,,,UNKNOWN,,,,,U,,
13410,,,UNKNOWN,,,,,U,,
13411,,,UNKNOWN,,,,,U,,
13412,,,UNKNOWN,,,,,U,,
13413,,,UNKNOWN,,,,,U,,
13414,,,UNKNOWN,,,,,U,,
13415,,,UNKNOWN,,,,,U,,
13416,,,UNKNOWN,,,,,U,,
13417,,,UNKNOWN,,,,,U,,
13418,,,UNKNOWN,,,,,U,,
13419,,,UNKNOWN,,,,,U,,
13420,,,UNKNOWN,,,,,U,,
13421,,,UNKNOWN,,,,,U,,
13422,,,UNKNOWN,,,,,U,,
13423,,,UNKNOWN,,,,,U,,
13424,,,UNKNOWN,,,,,U,,
13425,,,UNKNOWN,,,,,U,,
13426,,,UNKNOWN,,,,,U,,
13427,,,UNKNOWN,,,,,U,,
13428,,,UNKNOWN,,,,,U,,
13429,,,UNKNOWN,,,,,U,,
13430,,,UNKNOWN,,,,,U,,
13431,,,UNKNOWN,,,,,U,,
13432,,,UNKNOWN,,,,,U,,
13433,,,UNKNOWN,,,,,U,,
13434,,,UNKNOWN,,,,,U,,
13435,,,UNKNOWN,,,,,U,,
13436,,,UNKNOWN,,,,,U,,
13437,,,UNKNOWN,,,,,U,,
13438,,,UNKNOWN,,,,,U,,
13439,,,UNKNOWN,,,,,U,,
13440,,,UNKNOWN,,,,,U,,
13441,,,UNKNOWN,,,,,U,,
13442,,,UNKNOWN,,,,,U,,
13443,,,UNKNOWN,,,,,U,,
13444,,,UNKNOWN,,,,,U,,
13445,,,UNKNOWN,,,,,U,,
13446,,,UNKNOWN,,,,,U,,
13447,,,UNKNOWN,,,,,U,,
13448,,,UNKNOWN,,,,,U,,
13449,,,UNKNOWN,,,,,U,,
13450,,,UNKNOWN,,,,,U,,
13451,,,UNKNOWN,,,,,U,,
13452,,,UNKNOWN,,,,,U,,
13453,,,UNKNOWN,,,,,U,,
13454,,,UNKNOWN,,,,,U,,
13455,,,UNKNOWN,,,,,U,,
13456,,,UNKNOWN,,,,,U,,
13457,,,UNKNOWN,,,,,U,,
13458,,,UNKNOWN,,,,,U,,
13459,,,UNKNOWN,,,,,U,,
13460,,,UNKNOWN,,,,,U,,
13461,,,UNKNOWN,,,,,U,,
13462,,,UNKNOWN,,,,,U,,
13463,,,UNKNOWN,,,,,U,,
13464,,,UNKNOWN,,,,,U,,
13465,,,UNKNOWN,,,,,U,,
13466,,,UNKNOWN,,,,,U,,
13467,,,UNKNOWN,,,,,U,,
13468,,,UNKNOWN,,,,,U,,
13469,,,UNKNOWN,,,,,U,,
13470,,,UNKNOWN,,,,,U,,
13471,,,UNKNOWN,,,,,U,,
13472,,,UNKNOWN,,,,,U,,
13473,,,UNKNOWN,,,,,U,,
13474,,,UNKNOWN,,,,,U,,
13475,,,UNKNOWN,,,,,U,,
13476,,,UNKNOWN,,,,,U,,
13477,,,UNKNOWN,,,,,U,,
13478,,,UNKNOWN,,,,,U,,
13479,,,UNKNOWN,,,,,U,,
13480,,,UNKNOWN,,,,,U,,
13481,,,UNKNOWN,,,,,U,,
13482,,,UNKNOWN,,,,,U,,
13483,,,UNKNOWN,,,,,U,,
13484,,,UNKNOWN,,,,,U,,
13485,,,UNKNOWN,,,,,U,,
13486,,,UNKNOWN,,,,,U,,
13487,,,UNKNOWN,,,,,U,,
13488,,,UNKNOWN,,,,,U,,
13489,,,UNKNOWN,,,,,U,,
13490,,,UNKNOWN,,,,,U,,
13491,,,UNKNOWN,,,,,U,,
13492,,,UNKNOWN,,,,,U,,
13493,,,UNKNOWN,,,,,U,,
13494,,,UNKNOWN,,,,,U,,
13495,,,UNKNOWN,,,,,U,,
13496,,,UNKNOWN,,,,,U,,
13497,,,UNKNOWN,,,,,U,,
13498,,,UNKNOWN,,,,,U,,
13499,,,UNKNOWN,,,,,U,,
13500,,,UNKNOWN,,,,,U,,
13501,,,UNKNOWN,,,,,U,,
13502,,,UNKNOWN,,,,,U,,
13503,,,UNKNOWN,,,,,U,,
13504,,,UNKNOWN,,,,,U,,
13505,,,UNKNOWN,,,,,U,,
13506,,,UNKNOWN,,,,,U,,
13507,,,UNKNOWN,,,,,U,,
13508,,,UNKNOWN,,,,,U,,
13509,,,UNKNOWN,,,,,U,,
13510,,,UNKNOWN,,,,,U,,
13511,,,UNKNOWN,,,,,U,,
13512,,,UNKNOWN,,,,,U,,
13513,,,UNKNOWN,,,,,U,,
13514,,,UNKNOWN,,,,,U,,
13515,,,UNKNOWN,,,,,U,,
13516,,,UNKNOWN,,,,,U,,
13517,,,UNKNOWN,,,,,U,,
13518,,,UNKNOWN,,,,,U,,
13519,,,UNKNOWN,,,,,U,,
13520,,,UNKNOWN,,,,,U,,
13521,,,UNKNOWN,,,,,U,,
13522,,,UNKNOWN,,,,,U,,
13523,,,UNKNOWN,,,,,U,,
13524,,,UNKNOWN,,,,,U,,
13525,,,UNKNOWN,,,,,U,,
13526,,,UNKNOWN,,,,,U,,
13527,,,UNKNOWN,,,,,U,,
13528,,,UNKNOWN,,,,,U,,
13529,,,UNKNOWN,,,,,U,,
13530,,,UNKNOWN,,,,,U,,
13531,,,UNKNOWN,,,,,U,,
13532,,,UNKNOWN,,,,,U,,
13533,,,UNKNOWN,,,,,U,,
13534,,,UNKNOWN,,,,,U,,
13535,,,UNKNOWN,,,,,U,,
13536,,,UNKNOWN,,,,,U,,
13537,,,UNKNOWN,,,,,U,,
13538,,,UNKNOWN,,,,,U,,
13539,,,UNKNOWN,,,,,U,,
13540,,,UNKNOWN,,,,,U,,
13541,,,UNKNOWN,,,,,U,,
13542,,,UNKNOWN,,,,,U,,
13543,,,UNKNOWN,,,,,U,,
13544,,,UNKNOWN,,,,,U,,
13545,,,UNKNOWN,,,,,U,,
13546,,,UNKNOWN,,,,,U,,
13547,,,UNKNOWN,,,,,U,,
13548,,,UNKNOWN,,,,,U,,
13549,,,UNKNOWN,,,,,U,,
13550,,,UNKNOWN,,,,,U,,
13551,,,UNKNOWN,,,,,U,,
13552,,,UNKNOWN,,,,,U,,
13553,,,UNKNOWN,,,,,U,,
13554,,,UNKNOWN,,,,,U,,
13555,,,UNKNOWN,,,,,U,,
13556,,,UNKNOWN,,,,,U,,
13557,,,UNKNOWN,,,,,U,,
13558,,,UNKNOWN,,,,,U,,
13559,,,UNKNOWN,,,,,U,,
13560,,,UNKNOWN,,,,,U,,
13561,,,UNKNOWN,,,,,U,,
13562,,,UNKNOWN,,,,,U,,
13563,,,UNKNOWN,,,,,U,,
13564,,,UNKNOWN,,,,,U,,
13565,,,UNKNOWN,,,,,U,,
13566,,,UNKNOWN,,,,,U,,
13567,,,UNKNOWN,,,,,U,,
13568,,,UNKNOWN,,,,,U,,
13569,,,UNKNOWN,,,,,U,,
13570,,,UNKNOWN,,,,,U,,
13571,,,UNKNOWN,,,,,U,,
13572,,,UNKNOWN,,,,,U,,
13573,,,UNKNOWN,,,,,U,,
13574,,,UNKNOWN,,,,,U,,
13575,,,UNKNOWN,,,,,U,,
13576,,,UNKNOWN,,,,,U,,
13577,,,UNKNOWN,,,,,U,,
13578,,,UNKNOWN,,,,,U,,
13579,,,UNKNOWN,,,,,U,,
13580,,,UNKNOWN,,,,,U,,
13581,,,UNKNOWN,,,,,U,,
13582,,,UNKNOWN,,,,,U,,
13583,,,UNKNOWN,,,,,U,,
13584,,,UNKNOWN,,,,,U,,
13585,,,UNKNOWN,,,,,U,,
13586,,,UNKNOWN,,,,,U,,
13587,,,UNKNOWN,,,,,U,,
13588,,,UNKNOWN,,,,,U,,
13589,,,UNKNOWN,,,,,U,,
13590,,,UNKNOWN,,,,,U,,
13591,,,UNKNOWN,,,,,U,,
13592,,,UNKNOWN,,,,,U,,
13593,,,UNKNOWN,,,,,U,,
13594,,,UNKNOWN,,,,,U,,
13595,,,UNKNOWN,,,,,U,,
13596,,,UNKNOWN,,,,,U,,
13597,,,UNKNOWN,,,,,U,,
13598,,,UNKNOWN,,,,,U,,
13599,,,UNKNOWN,,,,,U,,
13600,,,UNKNOWN,,,,,U,,
13601,,,UNKNOWN,,,,,U,,
13602,,,UNKNOWN,,,,,U,,
13603,,,UNKNOWN,,,,,U,,
13604,,,UNKNOWN,,,,,U,,
13605,,,UNKNOWN,,,,,U,,
13606,,,UNKNOWN,,,,,U,,
13607,,,UNKNOWN,,,,,U,,
13608,,,UNKNOWN,,,,,U,,
13609,,,UNKNOWN,,,,,U,,
13610,,,UNKNOWN,,,,,U,,
13611,,,UNKNOWN,,,,,U,,
13612,,,UNKNOWN,,,,,U,,
13613,,,UNKNOWN,,,,,U,,
13614,,,UNKNOWN,,,,,U,,
13615,,,UNKNOWN,,,,,U,,
13616,,,UNKNOWN,,,,,U,,
13617,,,UNKNOWN,,,,,U,,
13618,,,UNKNOWN,,,,,U,,
13619,,,UNKNOWN,,,,,U,,
13620,,,UNKNOWN,,,,,U,,
13621,,,UNKNOWN,,,,,U,,
13622,,,UNKNOWN,,,,,U,,
13623,,,UNKNOWN,,,,,U,,
13624,,,UNKNOWN,,,,,U,,
13625,,,UNKNOWN,,,,,U,,
13626,,,UNKNOWN,,,,,U,,
13627,,,UNKNOWN,,,,,U,,
13628,,,UNKNOWN,,,,,U,,
13629,,,UNKNOWN,,,,,U,,
13630,,,UNKNOWN,,,,,U,,
13631,,,UNKNOWN,,,,,U,,
13632,,,UNKNOWN,,,,,U,,
13633,,,UNKNOWN,,,,,U,,
13634,,,UNKNOWN,,,,,U,,
13635,,,UNKNOWN,,,,,U,,
13636,,,UNKNOWN,,,,,U,,
13637,,,UNKNOWN,,,,,U,,
13638,,,UNKNOWN,,,,,U,,
13639,,,UNKNOWN,,,,,U,,
13640,,,UNKNOWN,,,,,U,,
13641,,,UNKNOWN,,,,,U,,
13642,,,UNKNOWN,,,,,U,,
13643,,,UNKNOWN,,,,,U,,
13644,,,UNKNOWN,,,,,U,,
13645,,,UNKNOWN,,,,,U,,
13646,,,UNKNOWN,,,,,U,,
13647,,,UNKNOWN,,,,,U,,
13648,,,UNKNOWN,,,,,U,,
13649,,,UNKNOWN,,,,,U,,
13650,,,UNKNOWN,,,,,U,,
13651,,,UNKNOWN,,,,,U,,
13652,,,UNKNOWN,,,,,U,,
13653,,,UNKNOWN,,,,,U,,
13654,,,UNKNOWN,,,,,U,,
13655,,,UNKNOWN,,,,,U,,
13656,,,UNKNOWN,,,,,U,,
13657,,,UNKNOWN,,,,,U,,
13658,,,UNKNOWN,,,,,U,,
13659,,,UNKNOWN,,,,,U,,
13660,,,UNKNOWN,,,,,U,,
13661,,,UNKNOWN,,,,,U,,
13662,,,UNKNOWN,,,,,U,,
13663,,,UNKNOWN,,,,,U,,
13664,,,UNKNOWN,,,,,U,,
13665,,,UNKNOWN,,,,,U,,
13666,,,UNKNOWN,,,,,U,,
13667,,,UNKNOWN,,,,,U,,
13668,,,UNKNOWN,,,,,U,,
13669,,,UNKNOWN,,,,,U,,
13670,,,UNKNOWN,,,,,U,,
13671,,,UNKNOWN,,,,,U,,
13672,,,UNKNOWN,,,,,U,,
13673,,,UNKNOWN,,,,,U,,
13674,,,UNKNOWN,,,,,U,,
13675,,,UNKNOWN,,,,,U,,
13676,,,UNKNOWN,,,,,U,,
13677,,,UNKNOWN,,,,,U,,
13678,,,UNKNOWN,,,,,U,,
13679,,,UNKNOWN,,,,,U,,
13680,,,UNKNOWN,,,,,U,,
13681,,,UNKNOWN,,,,,U,,
13682,,,UNKNOWN,,,,,U,,
13683,,,UNKNOWN,,,,,U,,
13684,,,UNKNOWN,,,,,U,,
13685,,,UNKNOWN,,,,,U,,
13686,,,UNKNOWN,,,,,U,,
13687,,,UNKNOWN,,,,,U,,
13688,,,UNKNOWN,,,,,U,,
13689,,,UNKNOWN,,,,,U,,
13690,,,UNKNOWN,,,,,U,,
13691,,,UNKNOWN,,,,,U,,
13692,,,UNKNOWN,,,,,U,,
13693,,,UNKNOWN,,,,,U,,
13694,,,UNKNOWN,,,,,U,,
13695,,,UNKNOWN,,,,,U,,
13696,,,UNKNOWN,,,,,U,,
13697,,,UNKNOWN,,,,,U,,
13698,,,UNKNOWN,,,,,U,,
13699,,,UNKNOWN,,,,,U,,
13700,,,UNKNOWN,,,,,U,,
13701,,,UNKNOWN,,,,,U,,
13702,,,UNKNOWN,,,,,U,,
13703,,,UNKNOWN,,,,,U,,
13704,,,UNKNOWN,,,,,U,,
13705,,,UNKNOWN,,,,,U,,
13706,,,UNKNOWN,,,,,U,,
13707,,,UNKNOWN,,,,,U,,
13708,,,UNKNOWN,,,,,U,,
13709,,,UNKNOWN,,,,,U,,
13710,,,UNKNOWN,,,,,U,,
13711,,,UNKNOWN,,,,,U,,
13712,,,UNKNOWN,,,,,U,,
13713,,,UNKNOWN,,,,,U,,
13714,,,UNKNOWN,,,,,U,,
13715,,,UNKNOWN,,,,,U,,
13716,,,UNKNOWN,,,,,U,,
13717,,,UNKNOWN,,,,,U,,
13718,,,UNKNOWN,,,,,U,,
13719,,,UNKNOWN,,,,,U,,
13720,,,UNKNOWN,,,,,U,,
13721,,,UNKNOWN,,,,,U,,
13722,,,UNKNOWN,,,,,U,,
13723,,,UNKNOWN,,,,,U,,
13724,,,UNKNOWN,,,,,U,,
13725,,,UNKNOWN,,,,,U,,
13726,,,UNKNOWN,,,,,U,,
13727,,,UNKNOWN,,,,,U,,
13728,,,UNKNOWN,,,,,U,,
13729,,,UNKNOWN,,,,,U,,
13730,,,UNKNOWN,,,,,U,,
13731,,,UNKNOWN,,,,,U,,
13732,,,UNKNOWN,,,,,U,,
13733,,,UNKNOWN,,,,,U,,
13734,,,UNKNOWN,,,,,U,,
13735,,,UNKNOWN,,,,,U,,
13736,,,UNKNOWN,,,,,U,,
13737,,,UNKNOWN,,,,,U,,
13738,,,UNKNOWN,,,,,U,,
13739,,,UNKNOWN,,,,,U,,
13740,,,UNKNOWN,,,,,U,,
13741,,,UNKNOWN,,,,,U,,
13742,,,UNKNOWN,,,,,U,,
13743,,,UNKNOWN,,,,,U,,
13744,,,UNKNOWN,,,,,U,,
13745,,,UNKNOWN,,,,,U,,
13746,,,UNKNOWN,,,,,U,,
13747,,,UNKNOWN,,,,,U,,
13748,,,UNKNOWN,,,,,U,,
13749,,,UNKNOWN,,,,,U,,
13750,,,UNKNOWN,,,,,U,,
13751,,,UNKNOWN,,,,,U,,
13752,,,UNKNOWN,,,,,U,,
13753,,,UNKNOWN,,,,,U,,
13754,,,UNKNOWN,,,,,U,,
13755,,,UNKNOWN,,,,,U,,
13756,,,UNKNOWN,,,,,U,,
13757,,,UNKNOWN,,,,,U,,
13758,,,UNKNOWN,,,,,U,,
13759,,,UNKNOWN,,,,,U,,
13760,,,UNKNOWN,,,,,U,,
13761,,,UNKNOWN,,,,,U,,
13762,,,UNKNOWN,,,,,U,,
13763,,,UNKNOWN,,,,,U,,
13764,,,UNKNOWN,,,,,U,,
13765,,,UNKNOWN,,,,,U,,
13766,,,UNKNOWN,,,,,U,,
13767,,,UNKNOWN,,,,,U,,
13768,,,UNKNOWN,,,,,U,,
13769,,,UNKNOWN,,,,,U,,
13770,,,UNKNOWN,,,,,U,,
13771,,,UNKNOWN,,,,,U,,
13772,,,UNKNOWN,,,,,U,,
13773,,,UNKNOWN,,,,,U,,
13774,,,UNKNOWN,,,,,U,,
13775,,,UNKNOWN,,,,,U,,
13776,,,UNKNOWN,,,,,U,,
13777,,,UNKNOWN,,,,,U,,
13778,,,UNKNOWN,,,,,U,,
13779,,,UNKNOWN,,,,,U,,
13780,,,UNKNOWN,,,,,U,,
13781,,,UNKNOWN,,,,,U,,
13782,,,UNKNOWN,,,,,U,,
13783,,,UNKNOWN,,,,,U,,
13784,,,UNKNOWN,,,,,U,,
13785,,,UNKNOWN,,,,,U,,
13786,,,UNKNOWN,,,,,U,,
13787,,,UNKNOWN,,,,,U,,
13788,,,UNKNOWN,,,,,U,,
13789,,,UNKNOWN,,,,,U,,
13790,,,UNKNOWN,,,,,U,,
13791,,,UNKNOWN,,,,,U,,
13792,,,UNKNOWN,,,,,U,,
13793,,,UNKNOWN,,,,,U,,
13794,,,UNKNOWN,,,,,U,,
13795,,,UNKNOWN,,,,,U,,
13796,,,UNKNOWN,,,,,U,,
13797,,,UNKNOWN,,,,,U,,
13798,,,UNKNOWN,,,,,U,,
13799,,,UNKNOWN,,,,,U,,
13800,,,UNKNOWN,,,,,U,,
13801,,,UNKNOWN,,,,,U,,
13802,,,UNKNOWN,,,,,U,,
13803,,,UNKNOWN,,,,,U,,
13804,,,UNKNOWN,,,,,U,,
13805,,,UNKNOWN,,,,,U,,
13806,,,UNKNOWN,,,,,U,,
13807,,,UNKNOWN,,,,,U,,
13808,,,UNKNOWN,,,,,U,,
13809,,,UNKNOWN,,,,,U,,
13810,,,UNKNOWN,,,,,U,,
13811,,,UNKNOWN,,,,,U,,
13812,,,UNKNOWN,,,,,U,,
13813,,,UNKNOWN,,,,,U,,
13814,,,UNKNOWN,,,,,U,,
